zaal,naam,resultaat,hoeken
zaal_13,IMG_20190323_114551.jpg,True,"[array([[[ 539,  348]],

       [[3475,  351]],

       [[3324, 2640]],

       [[ 572, 2530]]], dtype=int32)]"
zaal_13,IMG_20190323_114601.jpg,True,"[array([[[ 408,  239]],

       [[3523,  274]],

       [[3384, 2349]],

       [[ 361, 2491]]], dtype=int32)]"
zaal_13,IMG_20190323_114619.jpg,True,"[array([[[ 724,  421]],

       [[3397,  460]],

       [[3428, 2526]],

       [[ 772, 2624]]], dtype=int32)]"
zaal_13,IMG_20190323_114629.jpg,False,[]
zaal_13,IMG_20190323_114634.jpg,False,[]
zaal_13,IMG_20190323_114642.jpg,True,"[array([[[ 652,  459]],

       [[3479,  477]],

       [[3460, 2459]],

       [[ 696, 2478]]], dtype=int32)]"
zaal_14,IMG_20190323_114720.jpg,True,"[array([[[2497,  206]],

       [[3023, 3269]],

       [[  34, 3289]],

       [[ 489,  210]]], dtype=int32)]"
zaal_14,IMG_20190323_114730.jpg,True,"[array([[[2281,  652]],

       [[2328, 2822]],

       [[ 520, 2875]],

       [[ 542,  672]]], dtype=int32)]"
zaal_14,IMG_20190323_114742.jpg,False,[]
zaal_14,IMG_20190323_114750.jpg,False,[]
zaal_14,IMG_20190323_114800.jpg,False,[]
zaal_14,IMG_20190323_114807.jpg,True,"[array([[[3730,  193]],

       [[4028, 2680]],

       [[   0, 2661]],

       [[ 245,  264]]], dtype=int32)]"
zaal_14,IMG_20190323_114815.jpg,True,"[array([[[2340,  881]],

       [[2272, 2699]],

       [[ 854, 2690]],

       [[ 843,  872]]], dtype=int32)]"
zaal_14,IMG_20190323_114826.jpg,False,[]
zaal_14,IMG_20190323_114836.jpg,True,"[array([[[   0,  279]],

       [[3496,  334]],

       [[3530, 2638]],

       [[   0, 2673]]])]"
zaal_14,IMG_20190323_114845.jpg,True,"[array([[[3342,  502]],

       [[3470, 2564]],

       [[ 589, 2650]],

       [[ 690,  553]]], dtype=int32)]"
zaal_14,IMG_20190323_114853.jpg,False,[]
zaal_14,IMG_20190323_114917.jpg,True,"[array([[[ 786,  578]],

       [[2936,  597]],

       [[2909, 2339]],

       [[ 787, 2304]]], dtype=int32)]"
zaal_14,IMG_20190323_114924.jpg,True,"[array([[[2498,  595]],

       [[2533, 3009]],

       [[ 395, 3079]],

       [[ 336,  590]]], dtype=int32)]"
zaal_14,IMG_20190323_114931.jpg,True,"[array([[[ 716,  469]],

       [[3236,  477]],

       [[3228, 2389]],

       [[ 754, 2400]]], dtype=int32)]"
zaal_15,IMG_20190323_115217.jpg,True,"[array([[[2728,  402]],

       [[2620, 3408]],

       [[ 296, 3386]],

       [[ 225,  421]]], dtype=int32)]"
zaal_15,IMG_20190323_115222.jpg,True,"[array([[[ 397,  635]],

       [[2620,  674]],

       [[2521, 3310]],

       [[ 444, 3300]]], dtype=int32)]"
zaal_15,IMG_20190323_115237.jpg,True,"[array([[[ 508,  284]],

       [[3346,  314]],

       [[3318, 2788]],

       [[ 530, 2811]]], dtype=int32)]"
